chunk_id,text
18,getting people started running python browser • xavier van aubel made several useful correction second edition • william murray corrected deﬁnition ﬂoor division • per starbäck brought date universal newlines python • laurent rosenfeld mihaela rotaru translated book french along way sent many correction suggestion addition people spotted typo made correction include czeslaw czapla dale wil son francesco carlo cimini richard fursa brian mcghie lokesh kumar makani matthew shultz viet le victor simeone lars od christensen swarup sahoo alix etienne kuang wei huang karen barber eric ransomxii chapter prefacecontents preface v way program program running python ﬁrst program arithmetic operator value type formal natural language debugging glossary exercise variable expression statement
19,program running python ﬁrst program arithmetic operator value type formal natural language debugging glossary exercise variable expression statement assignment statement variable name expression statement script mode order operation string operation comment debugging glossary exercise xiv content function function call math function composition adding new function deﬁnitions us flow execution parameter argument variable parameter local stack diagram fruitful function void function function debugging glossary exercise case study interface design turtle module simple repetition exercise encapsulation generalization interface design refactoring development plan docstring debugging glossary exercise content xv conditionals recursion floor division modulus boolean expression logical operator
20,development plan docstring debugging glossary exercise content xv conditionals recursion floor division modulus boolean expression logical operator conditional execution alternative execution chained conditionals nested conditionals recursion stack diagram recursive function inﬁnite recursion keyboard input debugging glossary exercise fruitful function return value incremental development composition boolean function recursion leap faith one example checking type debugging glossary exercise xvi content iteration reassignment updating variable statement break square root algorithm debugging glossary exercise string string sequence len traversal loop string slice string immutable searching looping counting string method operator string comparison debugging glossary exercise case study word
21,loop string slice string immutable searching looping counting string method operator string comparison debugging glossary exercise case study word play reading word list exercise search looping index debugging glossary exercise content xvii list list sequence list mutable traversing list list operation list slice list method map ﬁlter reduce deleting element list string object value aliasing list argument debugging glossary exercise dictionary dictionary mapping dictionary collection counter looping dictionary reverse lookup dictionary list memo global variable debugging glossary exercise xviii content uples tuples immutable tuple assignment tuples return value variablelength argument tuples list tuples dictionary tuples sequence sequence debugging glossary exercise case study data
22,tuples return value variablelength argument tuples list tuples dictionary tuples sequence sequence debugging glossary exercise case study data structure selection word frequency analysis random number word histogram common word optional parameter dictionary subtraction random word markov analysis data structure debugging glossary exercise file persistence reading writing format operator filename path catching exception content xix database pickling pipe writing module debugging glossary exercise class object programmerdeﬁned type attribute rectangle instance return value object mutable copying debugging glossary exercise class function time pure function modiﬁers prototyping versus planning debugging glossary exercise class method objectoriented feature printing object another example xx
23,pure function modiﬁers prototyping versus planning debugging glossary exercise class method objectoriented feature printing object another example xx content complicated example init method str method operator overloading typebased dispatch polymorphism debugging interface implementation glossary exercise inheritance card object class attribute comparing card deck printing deck add remove shufﬂe sort inheritance class diagram debugging data encapsulation glossary exercise goody conditional expression list comprehension generator expression set counter content xxi defaultdict named tuples gathering keyword args glossary exercise debugging syntax error runtime error semantic error b analysis algorithm b order growth b analysis basic python operation b analysis search algorithm b hashtables
24,error runtime error semantic error b analysis algorithm b order growth b analysis basic python operation b analysis search algorithm b hashtables b glossary xxii contentschapter way program goal book teach think like computer scientist way think ing combine best feature mathematics engineering natural science like mathematician computer scientist use formal language denote idea speciﬁ cally computation like engineer design thing assembling component sys tems evaluating tradeoff among alternative like scientist observe behav ior complex system form hypothesis test prediction single important skill computer scientist problem solving problem solv ing mean ability formulate problem think creatively solution express solution clearly accurately turn process learning program excellent
25,problem solv ing mean ability formulate problem think creatively solution express solution clearly accurately turn process learning program excellent opportunity practice problemsolving skill ’ chapter called “ way program ” one level learning program useful skill another level use programming mean end go along end become clearer program program sequence instruction speciﬁes perform computation computation might something mathematical solving system equation ﬁnding root polynomial also symbolic computation search ing replacing text document something graphical like processing image playing video detail look different different language basic instruction appear every language input get data keyboard ﬁle network device output display data screen save ﬁle send network etc math perform basic
26,instruction appear every language input get data keyboard ﬁle network device output display data screen save ﬁle send network etc math perform basic mathematical operation like addition multiplication conditional execution check certain condition run appropriate code chapter way program repetition perform action repeatedly usually variation believe ’ pretty much every program ’ ever used matter complicated made instruction look pretty much like think programming process breaking large complex task smaller smaller subtasks subtasks simple enough performed one basic instruction running python one challenge getting started python might install python related software computer familiar operating system especially comfortable commandline interface trouble installing python beginner painful
27,python related software computer familiar operating system especially comfortable commandline interface trouble installing python beginner painful learn sys tem administration programming time avoid problem recommend start running python browser later comfortable python ’ make suggestion installing python computer number web page use run python already fa vorite go ahead use otherwise recommend pythonanywhere provide detailed instruction getting started httptinyurlcomthinkpythone two version python called python python similar learn one easy switch fact difference encounter beginner book written python include note python python interpreter program read executes python code depending environment might start interpreter clicking icon typing python command line start see output like python
28,program read executes python code depending environment might start interpreter clicking icon typing python command line start see output like python default jun gcc linux type help copyright credit license information ﬁrst three line contain information interpreter operating system ’ running might different check version number example begin indicates running python begin running guessed python last line prompt indicates interpreter ready enter code type line code hit enter interpreter display result ’ ready get started assume know start python interpreter run code ﬁrst program ﬁrst program traditionally ﬁrst program write new language called “ hello world ” cause display word “ hello world ” python look like print hello world example print statement although ’ actually print anything
29,“ hello world ” cause display word “ hello world ” python look like print hello world example print statement although ’ actually print anything paper display result screen case result word hello world quotation mark program mark beginning end text dis played ’ appear result parenthesis indicate print function ’ get function chapter python print statement slightly different function ’ use parenthesis print hello world distinction make sense soon ’ enough get started arithmetic operator “ hello world ” next step arithmetic python provides operator special symbol represent computation like addition multiplication operator perform addition subtraction multiplication fol lowing example operator performs division might wonder result instead ’ explain next section finally operator performs
30,subtraction multiplication fol lowing example operator performs division might wonder result instead ’ explain next section finally operator performs exponentiation raise number power language used exponentiation python bitwise operator called xor familiar bitwise operator result surprise ’ cover bitwise operator book read athttpwiki pythonorgmoinbitwiseoperators chapter way program value type value one basic thing program work like letter number value seen far hello world value belong differenttypes integer ﬂoatingpoint number hello world string socalled letter contains strung together sure type value interpreter tell type type type hello world result word “ class ” used sense category type category value surprisingly integer belong type int string belong str ﬂoatingpoint number belong
31,world result word “ class ” used sense category type category value surprisingly integer belong type int string belong str ﬂoatingpoint number belong float value like look like number quotation mark like string type type ’ string type large integer might tempted use comma group digit legal integer python legal ’ expected python interprets commaseparated sequence integer ’ learn kind sequence later formal natural language natural language language people speak english spanish french designed people although people try impose order evolved naturally formal language language designed people speciﬁc application example notation mathematician use formal language particularly good denoting relationship among number symbol chemist use formal lan guage represent chemical structure molecule
32,use formal language particularly good denoting relationship among number symbol chemist use formal lan guage represent chemical structure molecule importantly programming language formal language designed express computation formal natural language formal language tend strict syntax rule govern structure statement example mathematics statement correct syntax chemistry ho syntactically correct formula zz syntax rule come two ﬂavors pertaining token structure token basic element language word number chemical element one problem legal token mathematics least far know similarly zz legal element abbreviation zz second type syntax rule pertains way token combined equation illegal even though legal token ’ one right similarly chemical formula subscript come element name wellstructured englih
33,way token combined equation illegal even though legal token ’ one right similarly chemical formula subscript come element name wellstructured englih sentence invalid tkens sentence valid token invalid structure read sentence english statement formal language ﬁgure structure although natural language subconsciously process called parsing although formal natural language many feature common — token struc ture syntax — difference ambiguity natural language full ambiguity people deal using con textual clue information formal language designed nearly completely unambiguous mean statement exactly one meaning regardless context redundancy order make ambiguity reduce misunderstanding natural language employ lot redundancy result often verbose formal language less redundant concise literalness
34,make ambiguity reduce misunderstanding natural language employ lot redundancy result often verbose formal language less redundant concise literalness natural language full idiom metaphor say “ penny dropped ” probably penny nothing dropping idiom mean someone understood something period confusion formal language mean exactly say grow speaking natural language sometimes hard adjust mal language difference formal natural language like difference poetry prose poetry word used sound well meaning whole poem together creates effect emotional response ambiguity common often deliberate prose literal meaning word important structure contributes meaning prose amenable analysis poetry still often ambiguous program meaning computer program unambiguous literal understood entirely analysis token
35,meaning prose amenable analysis poetry still often ambiguous program meaning computer program unambiguous literal understood entirely analysis token structure chapter way program formal language dense natural language take longer read also structure important always best read top bottom left right instead learn parse program head identifying token inter preting structure finally detail matter small error spelling punctuation get away natural language make big difference formal language debugging programmer make mistake whimsical reason programming error called bug process tracking called debugging programming especially debugging sometimes brings strong emotion struggling difﬁcult bug might feel angry despondent embarrassed evidence people naturally respond computer people work well think
36,strong emotion struggling difﬁcult bug might feel angry despondent embarrassed evidence people naturally respond computer people work well think teammate obstinate rude respond way respond rude obstinate people reef nass medium equation people treat computer television new medium like real people place preparing reaction might help deal one approach think computer employee certain strength like speed precision partic ular weakness like lack empathy inability grasp big picture job good manager ﬁnd way take advantage strength mitigate weakness ﬁnd way use emotion engage problem without letting reaction interfere ability work effectively learning debug frustrating valuable skill useful many activ ities beyond programming end chapter section like one suggestion debugging hope help glossary
37,debug frustrating valuable skill useful many activ ities beyond programming end chapter section like one suggestion debugging hope help glossary problem solving process formulating problem ﬁnding solution express ing highlevel language programming language like python designed easy human read write lowlevel language programming language designed easy computer run also called “ machine language ” “ assembly language ” portability property program run one kind computer interpreter program read another program executes prompt character displayed interpreter indicate ready take input user program set instruction speciﬁes computation exercise print statement instruction cause python interpreter display value screen operator special symbol represents simple computation like addition multipli
38,statement instruction cause python interpreter display value screen operator special symbol represents simple computation like addition multipli cation string concatenation value one basic unit data like number string program manipulates type category value type seen far integer type int ﬂoating point number type float string type str integer type represents whole number ﬂoatingpoint type represents number fractional part string type represents sequence character natural language one language people speak evolved naturally formal language one language people designed speciﬁc pur pose representing mathematical idea computer program program ming language formal language token one basic element syntactic structure program analogous word natural language syntax rule govern structure program
39,language formal language token one basic element syntactic structure program analogous word natural language syntax rule govern structure program parse examine program analyze syntactic structure bug error program debugging process ﬁnding correcting bug exercise exercise good idea read book front computer try example go whenever experimenting new feature try make mistake example “ hello world ” program happens leave one quotation mark leave spell print wrong kind experiment help remember read also help programming get know error message mean better make mistake purpose later accidentally print statement happens leave one parenthesis trying print string happens leave one quotation mark use minus sign make negative number like happens put plus sign number chapter way program math notation
40,print string happens leave one quotation mark use minus sign make negative number like happens put plus sign number chapter way program math notation leading zero ok happens try python happens two value operator exercise start python interpreter use calculator many second minute second many mile kilometer hint kilometer mile run kilometer race minute second average pace time per mile minute second average speed mile per hourchapter variable expression statement one powerful feature programming language ability manipulate variable variable name refers value assignment statement assignment statement creates new variable give value message something completely different n pi example make three assignment ﬁrst assigns string new variable named message second give integer n third assigns
41,something completely different n pi example make three assignment ﬁrst assigns string new variable named message second give integer n third assigns approximate value π pi common way represent variable paper write name arrow pointing value kind ﬁgure called state diagram show state variable think variable ’ state mind figure show result previous example variable name programmer generally choose name variable meaningful — docu ment variable used message n pi ’ something completely different ’ figure state diagram chapter variable expression statement variable name long like contain letter number ’ begin number legal use uppercase letter conventional use lower case variable name underscore character appear name often used name multiple word yourname airspeedofunladenswallow give variable
42,use lower case variable name underscore character appear name often used name multiple word yourname airspeedofunladenswallow give variable illegal name get syntax error trombone big parade syntaxerror invalid syntax syntaxerror invalid syntax class advanced theoretical zymurgy syntaxerror invalid syntax trombone illegal begin number illegal contains illegal character ’ wrong withclass turn class one python ’ keywords interpreter us keywords recognize structure program used variable name python keywords false class finally return none continue lambda try true def nonlocal del global elif yield assert else import pas break except raise ’ memorize list development environment keywords displayed different color try use one variable name ’ know expression statement expression combination
43,memorize list development environment keywords displayed different color try use one variable name ’ know expression statement expression combination value variable operator value considered expression variable following legal expression n n type expression prompt interpreterevaluates mean ﬁnds value expression example n value n value statement unit code effect like creating variable displaying value n printn script mode ﬁrst line assignment statement give value n second line print statement display value n type statement interpreter executes mean whatever statement say general statement ’ value script mode far run python interactive mode mean interact directly interpreter interactive mode good way get started working line code clumsy alternative save code ﬁle called script run
44,mode mean interact directly interpreter interactive mode good way get started working line code clumsy alternative save code ﬁle called script run interpreter script mode execute script convention python script name end py know create run script computer ready go oth erwise recommend using pythonanywhere posted instruction running script mode httptinyurlcomthinkpythone python provides mode test bit code interactive mode put script difference interactive mode script mode confusing example using python calculator might type mile mile ﬁrst line assigns value mile visible effect second line ex pression interpreter evaluates display result turn marathon kilometer type code script run get output script mode expression visible effect python evaluates expression ’ display result display result
45,marathon kilometer type code script run get output script mode expression visible effect python evaluates expression ’ display result display result need aprint statement like mile printmiles behavior confusing ﬁrst check understanding type following statement python interpreter see x x put statement script run output modify script transforming expression print statement run order operation expression contains one operator order evaluation depends order operation mathematical operator python follows mathematical convention acronym pemdas useful way remember rule chapter variable expression statement • parenthesis highest precedence used force expression evaluate order want since expression parenthesis evaluated ﬁrst also use parenthesis make expression easier read minute even ’ change
46,expression evaluate order want since expression parenthesis evaluated ﬁrst also use parenthesis make expression easier read minute even ’ change result • exponentiation next highest precedence • multiplication division higher precedence addition subtraction • operator precedence evaluated left right except exponen tiation expression degree pi division happens ﬁrst result multiplied pi divide π use parenthesis writedegrees pi ’ work hard remember precedence operator ’ tell looking expression use parenthesis make obvious string operation general ’ perform mathematical operation string even string look like number following illegal chinesefood eggseasy thirda charm two exception operator performs string concatenation mean join string linking endtoend example first throat second warbler first
47,thirda charm two exception operator performs string concatenation mean join string linking endtoend example first throat second warbler first second throatwarbler operator also work string performs repetition example spam spamspamspam one value string integer use make sense analogy addition multiplication equivalent expect spam spamspamspam hand signiﬁcant way string concatenation repe tition different integer addition multiplication think property addition string concatenation comment program get bigger complicated get difﬁcult read formal language dense often difﬁcult look piece code ﬁgure debugging reason good idea add note program explain natural lan guage program note called comment start symbol compute percentage hour elapsed percentage minute case comment appears line also put
48,natural lan guage program note called comment start symbol compute percentage hour elapsed percentage minute case comment appears line also put comment end line percentage minute percentage hour everything end line ignored — effect execution program comment useful document nonobvious feature code reasonable assume reader ﬁgure code useful explain comment redundant code useless v assign v comment contains useful information code v velocity meterssecond good variable name reduce need comment long name make com plex expression hard read tradeoff debugging three kind error occur program syntax error runtime error semantic error useful distinguish order track quickly syntax error “ syntax ” refers structure program rule struc ture example parenthesis come matching pair legal syntax error
49,order track quickly syntax error “ syntax ” refers structure program rule struc ture example parenthesis come matching pair legal syntax error syntax error anywhere program python display error me sage quits able run program ﬁrst week programming career might spend lot time tracking syntax error gain experience make fewer error ﬁnd faster runtime error second type error runtime error called error appear program started running error also called exception usually indicate something exceptional bad happened runtime error rare simple program see ﬁrst chapter might encounter one semantic error third type error “ semantic ” mean related meaning semantic error program run without generating error message right thing something else speciﬁcally told identifying semantic error tricky requires work
50,error program run without generating error message right thing something else speciﬁcally told identifying semantic error tricky requires work backward looking output program trying ﬁgure chapter variable expression statement glossary variable name refers value assignment statement assigns value variable state diagram graphical representation set variable value refer keyword reserved word used parse program use keywords like def variable name operand one value operator operates expression combination variable operator value represents single sult evaluate simplify expression performing operation order yield single value statement section code represents command action far statement seen assignment print statement execute run statement say interactive mode way using python interpreter
51,code represents command action far statement seen assignment print statement execute run statement say interactive mode way using python interpreter typing code prompt script mode way using python interpreter read code script run script program stored ﬁle order operation rule governing order expression involving multiple operator operand evaluated concatenate join two operand endtoend comment information program meant programmer anyone read ing source code effect execution program syntax error error program make impossible parse therefore im possible interpret exception error detected program running semantics meaning program semantic error error program make something programmer intended exercise exercise repeating advice previous chapter whenever learn new feature try interactive mode
52,error program make something programmer intended exercise exercise repeating advice previous chapter whenever learn new feature try interactive mode make error purpose see go wrong • ’ seen thatn legal n exercise • x • language every statement end semicolon happens put semicolon end python statement • put period end statement • math notation multiply x like xy happens try python exercise practice using python interpreter calculator volume sphere radius r πr volume sphere radius suppose cover price book bookstore get discount shipping cost ﬁrst copy cent additional copy total wholesale cost copy leave house run mile easy pace per mile mile tempo per mile mile easy pace time get home breakfast chapter variable expression statementschapter function context programming afunction named
53,mile tempo per mile mile easy pace time get home breakfast chapter variable expression statementschapter function context programming afunction named sequence statement performs computation deﬁne function specify name sequence statement later “ call ” function name function call already seen one example function call type name function type expression parenthesis called argument function result function type argument common say function “ take ” argument “ return ” result result also called return value python provides function convert value one type another int function take value convert integer complains otherwise int int hello valueerror invalid literal int hello int convert ﬂoatingpoint value integer ’ round chop fraction part int int float convert integer string ﬂoatingpoint number
54,invalid literal int hello int convert ﬂoatingpoint value integer ’ round chop fraction part int int float convert integer string ﬂoatingpoint number float float chapter function finally str convert argument string str str math function python math module provides familiar mathematical function module ﬁle contains collection related function use function module import import state ment import math statement creates amodule object named math display module object get information math module object contains function variable deﬁned module access one function specify name module name function separated dot also known period format called dot notation ratio signalpower noisepower decibel mathlogratio radian height mathsinradians ﬁrst example us mathlog compute signaltonoise ratio decibel
55,notation ratio signalpower noisepower decibel mathlogratio radian height mathsinradians ﬁrst example us mathlog compute signaltonoise ratio decibel assuming signalpower noisepower deﬁned math module also provides log computes logarithm base e second example ﬁnds sine radian variable name radian hint sin trigonometric function co tan etc take argument radian convert degree radian divide multiply π degree radian degree mathpi mathsinradians expression mathpi get variable pi math module value ﬂoating point approximation π accurate digit know trigonometry check previous result comparing square root two divided two mathsqrt composition composition far looked element program — variable expression statement — isolation without talking combine one useful feature programming language ability take
